Actual / Predicted,No DR,Mild DR,Moderate DR,Severe DR,Proliferative DR
No DR,349,10,2,0,0
Mild DR,6,45,19,1,3
Moderate DR,3,26,148,15,8
Severe DR,0,0,11,17,11
Proliferative DR,0,6,11,7,35
